world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
84,University of Freiburg,Germany,47.4,60.3,51.1,80.5,100.0,60.7,"26,467",31.2,16%,52 : 48,2016
85,Seoul National University,South Korea,66.5,30.9,70.5,50.0,85.4,60.5,"26,389",13.9,10%,,2016
86,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,30.6,60.4,"8,338",12.7,47%,56 : 44,2016
87,Vanderbilt University,United States of America,47.8,29.1,44.2,95.7,63.2,60.1,"12,161",3.6,10%,52 : 48,2016
88,Kyoto University,Japan,70.6,26.1,69.3,46.6,79.0,59.9,"22,809",5.6,7%,,2016
88,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,95.4,59.9,"15,626",18.9,48%,56 : 44,2016
90,Emory University,United States of America,48.3,51.0,37.1,96.7,48.9,59.7,"12,338",4.5,18%,56 : 44,2016
90,Lund University,Sweden,39.7,74.1,53.6,81.3,70.4,59.7,"28,251",11.5,15%,,2016
90,Ohio State University,United States of America,51.6,53.0,46.6,83.2,53.1,59.7,"51,462",13.4,12%,49 : 51,2016
93,University of Exeter,United Kingdom,39.4,87.3,40.0,94.3,31.9,59.5,"17,755",18.8,28%,54 : 46,2016
94,University of Bonn,Germany,45.1,63.6,47.5,85.3,-,58.8,"32,474",70.4,13%,55 : 45,2016
94,Georgetown University,United States of America,54.4,52.7,39.3,82.5,80.7,58.8,"15,408",8.5,14%,53 : 47,2016
94,McMaster University,Canada,39.8,76.1,44.8,84.9,88.0,58.8,"23,823",19.3,15%,53 : 47,2016
97,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,43.4,58.6,"23,311",15.5,31%,50 : 50,2016
98,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,36.8,58.5,"14,260",14,40%,52 : 48,2016
99,University of Göttingen,Germany,49.3,56.4,54.5,72.7,31.8,58.0,"25,581",25.6,12%,51 : 49,2016
99,Michigan State University,United States of America,47.3,56.4,52.6,76.8,32.2,58.0,"44,750",15.7,15%,51 : 49,2016
