world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
49,Tsinghua University,China,64.1,44.6,68.3,65.0,99.7,65.1,"39,763",13.7,10%,32 : 68,2015
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,64.8,"26,389",13.9,10%,,2015
51,Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,57.6,64.7,"11,385",23.8,36%,,2015
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,100.0,64.5,"9,027",10,9%,20 : 80,2015
52,University of Manchester,United Kingdom,58.1,82.0,58.7,74.3,39.4,64.5,"34,938",15.3,34%,52 : 48,2015
54,Brown University,United States of America,55.5,37.0,54.2,92.0,32.7,64.1,"8,653",10.1,19%,,2015
55,KU Leuven,Belgium,53.0,62.3,63.6,71.8,99.9,63.7,"42,503",41.9,18%,54 : 46,2015
55,"University of California, Davis",United States of America,54.4,52.9,59.7,80.4,55.4,63.7,"35,364",13.9,13%,54 : 46,2015
57,Boston University,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,"24,789",8.6,17%,58 : 42,2015
58,Pennsylvania State University,United States of America,54.6,37.4,64.8,76.0,60.4,62.9,"44,501",12.4,12%,46 : 54,2015
59,Kyoto University,Japan,70.4,29.0,68.4,57.0,73.3,62.8,"22,809",5.6,7%,,2015
60,University of Sydney,Australia,52.8,83.6,60.8,69.0,67.3,62.7,"41,868",20.2,28%,57 : 43,2015
61,Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,100.0,62.2,"25,028",16.2,33%,48 : 52,2015
61,École Polytechnique,France,50.5,94.5,47.1,79.9,76.8,62.2,"2,429",4.8,30%,18 : 82,2015
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46.0,96.4,40.1,61.9,462,16.5,5%,28 : 72,2015
64,Leiden University,Netherlands,45.0,59.5,58.2,82.3,47.3,61.3,"21,222",17.1,10%,59 : 41,2015
65,The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,61.2,"34,718",32.7,27%,53 : 47,2015
66,Pohang University of Science and Technology,South Korea,52.7,36.0,49.3,84.4,100.0,61.1,"3,055",10.1,4%,20 : 80,2015
67,University of Göttingen,Germany,46.9,53.9,48.0,92.3,32.8,61.0,"25,581",25.6,12%,51 : 49,2015
68,Ohio State University,United States of America,54.0,51.5,51.1,80.4,46.8,60.7,"51,462",13.4,12%,49 : 51,2015
69,Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,59.8,"6,333",9,26%,44 : 56,2015
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,59.6,"28,881",24.5,17%,55 : 45,2015
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100.0,59.2,"15,920",19.4,25%,26 : 74,2015
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,59.1,"20,580",18.9,18%,48 : 52,2015
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100.0,59.0,"9,248",17,21%,56 : 44,2015
74,University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,58.9,"17,906",14,25%,53 : 47,2015
75,University of Basel,Switzerland,41.2,91.2,41.1,81.4,97.7,58.4,"12,551",17.3,24%,54 : 46,2015
75,University of Southern California,United States of America,55.2,42.7,44.6,81.3,34.4,58.4,"36,534",12.9,20%,52 : 48,2015
77,University of Amsterdam,Netherlands,42.0,60.5,55.4,76.6,56.7,58.2,"24,570",14.4,11%,53 : 47,2015
78,École Normale Supérieure,France,48.7,81.9,36.2,84.8,39.4,58.1,"2,400",7.9,20%,46 : 54,2015
79,Utrecht University,Netherlands,38.2,52.9,54.8,80.0,84.1,58.0,"30,779",15.4,7%,59 : 41,2015
80,Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,31.9,57.9,"29,987",52.5,16%,,2015
81,Free University of Berlin,Germany,49.4,56.6,58.0,67.6,33.5,57.6,"33,062",39.3,20%,58 : 42,2015
82,Michigan State University,United States of America,51.1,55.0,49.4,74.0,31.7,57.3,"44,750",15.7,15%,51 : 49,2015
83,Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,56.9,"15,489",15.7,24%,54 : 46,2015
83,Monash University,Australia,43.7,79.6,54.4,65.7,73.4,56.9,"50,882",40.5,36%,56 : 44,2015
85,Middle East Technical University,Turkey,45.5,38.7,36.9,92.0,55.2,56.6,"25,779",22.2,7%,44 : 56,2015
86,University of Arizona,United States of America,44.9,38.8,51.4,74.0,99.6,56.5,"36,429",12.7,8%,52 : 48,2015
86,University of Notre Dame,United States of America,43.3,51.4,38.5,90.0,-,56.5,"11,829",13.8,10%,44 : 56,2015
88,Tufts University,United States of America,43.6,51.1,33.9,92.9,58.7,56.4,"10,410",10,14%,54 : 46,2015
88,"University of California, Irvine",United States of America,39.5,56.1,41.7,89.5,40.0,56.4,"26,614",16.1,16%,52 : 48,2015
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,85.3,56.2,"32,166",34.1,9%,57 : 43,2015
91,University of Massachusetts,United States of America,44.8,40.3,49.1,78.7,52.8,56.1,"56,959",13,11%,49 : 51,2015
91,University of Pittsburgh,United States of America,45.2,32.2,46.3,84.4,38.5,56.1,"26,485",5.8,10%,51 : 49,2015
93,Emory University,United States of America,49.0,42.9,32.4,89.5,42.3,55.5,"12,338",4.5,18%,56 : 44,2015
94,McMaster University,Canada,38.1,69.4,43.2,78.8,85.0,55.3,"23,823",19.3,15%,53 : 47,2015
94,University of Glasgow,United Kingdom,37.0,78.8,40.5,83.7,39.9,55.3,"22,616",16,29%,57 : 43,2015
96,Vanderbilt University,United States of America,46.0,28.3,38.2,87.7,59.4,55.2,"12,161",3.6,10%,52 : 48,2015
97,University of Colorado Boulder,United States of America,35.0,39.1,38.3,97.4,-,55.1,"29,325",16.1,8%,45 : 55,2015
98,Stockholm University,Sweden,30.1,53.2,45.0,90.9,32.4,54.6,"31,715",23.7,8%,62 : 38,2015
98,Technical University of Munich,Germany,45.6,64.0,37.4,78.8,49.0,54.6,"35,565",31.5,20%,33 : 67,2015
98,Uppsala University,Sweden,40.2,57.5,53.0,70.9,39.6,54.6,"25,266",18.2,12%,57 : 43,2015
