world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
25,University of Washington,United States of America,65.6,43.2,69.2,95.6,43.1,73.4,"44,020",11.8,13%,53 : 47,2014
26,National University of Singapore,Singapore,68.0,94.3,77.8,66.4,64.3,72.4,"31,592",15.5,34%,49 : 51,2014
27,University of Texas at Austin,United States of America,64.7,42.4,69.0,91.3,59.6,72.2,"49,427",17.4,9%,51 : 49,2014
28,Georgia Institute of Technology,United States of America,59.4,67.8,68.6,87.9,71.3,71.6,"19,967",20.1,26%,31 : 69,2014
29,University of Illinois at Urbana-Champaign,United States of America,66.0,41.1,78.9,79.4,-,71.4,"42,727",18.7,20%,47 : 53,2014
30,University of Wisconsin-Madison,United States of America,69.8,32.3,67.7,87.2,51.2,71.1,"39,655",10.8,11%,51 : 49,2014
31,University of British Columbia,Canada,59.9,84.2,67.9,83.7,43.1,70.8,"50,152",17.6,25%,54 : 46,2014
32,London School of Economics and Political Science,United Kingdom,65.2,81.7,74.2,69.2,43.6,69.8,,,,,2014
33,"University of California, Santa Barbara",United States of America,47.8,61.8,58.2,99.4,86.7,68.4,"22,020",27.3,11%,52 : 48,2014
34,University of Melbourne,Australia,57.1,81.3,64.2,80.2,65.1,68.2,"40,128",23.7,35%,55 : 45,2014
35,McGill University,Canada,61.5,77.8,68.1,74.5,40.8,68.1,"31,326",13.7,23%,56 : 44,2014
36,Karolinska Institute,Sweden,58.1,73.2,67.7,76.0,68.7,67.8,"7,774",11.5,22%,70 : 30,2014
37,École Polytechnique Fédérale de Lausanne,Switzerland,52.9,98.2,48.3,95.9,49.2,67.7,"9,666",10.5,54%,27 : 73,2014
38,King’s College London,United Kingdom,56.2,86.0,56.8,87.6,38.3,67.6,"21,394",11.4,37%,61 : 39,2014
39,University of Edinburgh,United Kingdom,56.6,81.5,56.9,87.6,42.5,67.5,"25,774",14.1,36%,58 : 42,2014
40,New York University,United States of America,65.4,41.8,58.4,87.9,29.9,67.4,"42,056",6.8,19%,55 : 45,2014
40,"University of California, San Diego",United States of America,52.0,35.6,63.0,96.7,48.4,67.4,"27,233",6.5,11%,48 : 52,2014
42,Washington University in St Louis,United States of America,59.5,44.6,52.9,96.4,-,67.2,"12,528",5.7,17%,,2014
43,University of Hong Kong,Hong Kong,61.6,80.3,69.9,61.5,56.9,65.3,"19,835",17.6,38%,53 : 47,2014
44,Seoul National University,South Korea,76.4,29.4,79.2,47.3,86.0,65.2,"26,389",13.9,10%,,2014
45,Peking University,China,72.3,60.6,58.1,62.8,99.9,65.0,"40,148",8.3,14%,,2014
46,University of Minnesota,United States of America,61.4,31.7,62.7,81.2,-,64.9,"46,825",18,13%,52 : 48,2014
47,University of North Carolina at Chapel Hill,United States of America,57.6,35.0,55.3,90.2,39.1,64.5,"26,518",7.3,8%,58 : 42,2014
48,Australian National University,Australia,51.8,91.4,65.1,71.2,44.8,64.4,"14,604",19.2,35%,52 : 48,2014
49,Pennsylvania State University,United States of America,55.3,33.7,65.9,79.4,60.0,64.2,"44,501",12.4,12%,46 : 54,2014
50,Boston University,United States of America,56.5,44.2,46.1,95.3,31.1,63.5,"24,789",8.6,17%,58 : 42,2014
50,Tsinghua University,China,66.8,42.6,65.9,59.9,99.9,63.5,"39,763",13.7,10%,32 : 68,2014
52,Brown University,United States of America,55.4,37.7,52.0,91.3,33.5,63.2,"8,653",10.1,19%,,2014
52,Kyoto University,Japan,69.5,27.5,69.5,58.2,78.7,63.2,"22,809",5.6,7%,,2014
52,"University of California, Davis",United States of America,55.5,53.7,56.4,81.2,51.3,63.2,"35,364",13.9,13%,54 : 46,2014
55,LMU Munich,Germany,55.4,56.3,54.1,83.3,41.4,63.1,"35,691",15.5,13%,62 : 38,2014
56,Korea Advanced Institute of Science and Technology (KAIST),South Korea,65.6,34.3,60.0,67.0,100.0,62.9,"9,027",10,9%,20 : 80,2014
57,Hong Kong University of Science and Technology,Hong Kong,52.4,77.0,59.7,72.3,58.5,62.5,"11,385",23.8,36%,,2014
58,University of Manchester,United Kingdom,54.5,80.9,52.2,77.3,40.8,62.3,"34,938",15.3,34%,52 : 48,2014
59,Ohio State University,United States of America,58.3,48.1,52.9,79.4,47.7,62.0,"51,462",13.4,12%,49 : 51,2014
60,Pohang University of Science and Technology,South Korea,54.2,33.8,49.0,85.7,100.0,61.7,"3,055",10.1,4%,20 : 80,2014
61,KU Leuven,Belgium,48.6,58.6,59.9,72.9,99.9,61.3,"42,503",41.9,18%,54 : 46,2014
62,Purdue University,United States of America,53.7,60.6,62.5,67.0,-,60.7,"39,256",18.1,22%,42 : 58,2014
63,The University of Queensland,Australia,43.4,79.7,58.0,73.3,61.0,59.9,"34,718",32.7,27%,53 : 47,2014
63,University of Göttingen,Germany,45.1,51.5,48.8,89.6,41.2,59.9,"25,581",25.6,12%,51 : 49,2014
65,Rice University,United States of America,44.1,67.7,35.5,99.9,35.2,59.8,"6,333",9,26%,44 : 56,2014
65,École Normale Supérieure,France,54.6,67.1,37.1,87.0,44.7,59.8,"2,400",7.9,20%,46 : 54,2014
67,Leiden University,Netherlands,41.9,58.5,53.2,84.2,49.8,59.4,"21,222",17.1,10%,59 : 41,2014
68,Heidelberg University,Germany,57.8,61.3,44.8,76.0,42.1,59.2,"28,881",24.5,17%,55 : 45,2014
69,Delft University of Technology,Netherlands,55.8,74.2,67.3,47.2,100.0,59.1,"15,920",19.4,25%,26 : 74,2014
70,University of Southern California,United States of America,58.7,43.4,43.2,81.2,34.6,59.0,"36,534",12.9,20%,52 : 48,2014
70,École Polytechnique,France,46.3,86.1,40.5,82.3,74.0,59.0,"2,429",4.8,30%,18 : 82,2014
72,University of Sydney,Australia,47.4,84.8,55.4,66.6,66.3,58.8,"41,868",20.2,28%,57 : 43,2014
73,Erasmus University Rotterdam,Netherlands,37.8,66.6,53.3,81.2,56.0,58.1,"20,580",18.9,18%,48 : 52,2014
74,University of Basel,Switzerland,39.1,91.1,41.0,81.4,98.5,57.7,"12,551",17.3,24%,54 : 46,2014
74,Utrecht University,Netherlands,36.3,49.2,54.7,82.0,85.6,57.7,"30,779",15.4,7%,59 : 41,2014
76,Nanyang Technological University,Singapore,37.7,91.0,54.3,67.5,100.0,57.2,"25,028",16.2,33%,48 : 52,2014
77,Wageningen University and Research Center,Netherlands,43.1,78.3,44.3,74.1,100.0,56.8,"9,248",17,21%,56 : 44,2014
78,University of Pittsburgh,United States of America,48.6,29.4,45.4,84.4,39.4,56.7,"26,485",5.8,10%,51 : 49,2014
79,University of Bristol,United Kingdom,39.6,75.0,41.2,84.9,38.0,56.3,"17,906",14,25%,53 : 47,2014
80,Durham University,United Kingdom,38.3,76.8,38.3,88.2,35.3,56.1,"15,489",15.7,24%,54 : 46,2014
80,Emory University,United States of America,50.4,42.4,31.6,90.8,43.2,56.1,"12,338",4.5,18%,56 : 44,2014
80,Tufts University,United States of America,46.7,43.4,32.1,93.9,39.1,56.1,"10,410",10,14%,54 : 46,2014
83,Michigan State University,United States of America,50.0,52.6,49.1,71.5,32.0,55.9,"44,750",15.7,15%,51 : 49,2014
83,University of Amsterdam,Netherlands,38.3,58.3,54.1,75.0,50.2,55.9,"24,570",14.4,11%,53 : 47,2014
85,Ghent University,Belgium,41.0,49.5,48.9,74.9,94.6,55.5,"32,166",34.1,9%,57 : 43,2014
86,Free University of Berlin,Germany,43.8,58.7,58.0,64.8,34.4,55.3,"33,062",39.3,20%,58 : 42,2014
87,Technical University of Munich,Germany,48.2,63.1,35.2,80.7,50.1,55.2,"35,565",31.5,20%,33 : 67,2014
88,Case Western Reserve University,United States of America,51.0,35.4,38.6,82.8,-,55.0,"9,259",6.4,17%,48 : 52,2014
88,Vanderbilt University,United States of America,46.8,28.6,38.7,86.5,51.0,55.0,"12,161",3.6,10%,52 : 48,2014
90,University of Notre Dame,United States of America,41.2,47.5,34.7,91.8,31.2,54.7,"11,829",13.8,10%,44 : 56,2014
91,Monash University,Australia,42.5,78.3,48.9,65.4,67.0,54.6,"50,882",40.5,36%,56 : 44,2014
92,McMaster University,Canada,35.3,68.0,42.7,79.4,86.9,54.5,"23,823",19.3,15%,53 : 47,2014
93,"University of California, Irvine",United States of America,37.1,36.4,40.8,89.7,44.9,54.1,"26,614",16.1,16%,52 : 48,2014
94,Humboldt University of Berlin,Germany,45.6,54.4,48.7,68.4,-,53.8,"29,987",52.5,16%,,2014
95,University of Rochester,United States of America,42.8,50.7,29.9,89.7,41.4,53.6,"9,390",4.5,26%,49 : 51,2014
96,Pierre and Marie Curie University,France,50.2,65.5,26.7,82.3,34.4,53.5,"27,862",8.7,18%,48 : 52,2014
97,University of Colorado Boulder,United States of America,34.2,40.5,33.3,97.3,-,53.4,"29,325",16.1,8%,45 : 55,2014
98,Maastricht University,Netherlands,33.1,89.1,47.1,65.8,98.2,52.9,"15,626",18.9,48%,56 : 44,2014
98,University of Groningen,Netherlands,36.0,53.0,48.6,71.1,87.6,52.9,"24,556",25.6,12%,52 : 48,2014
100,University of Helsinki,Finland,35.5,51.3,46.5,77.8,30.7,52.6,"23,505",15.1,6%,66 : 34,2014
